Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/19/2022 12:19:50	2.50	7.70	1.03	0.50	0.00	0.00	0.00	1.45	11.72	100.00	-0.51	26.48	1324	7697	462	15	0	0	0	0	9497	617.37	10.00	5.85	20.28	25.44	22.38	17.08	0.95	31.56	31.63
7/19/2022 12:19:53	2.60	7.62	0.83	0.72	0.00	0.00	0.00	1.43	11.77	100.00	-0.51	26.51	1380	7618	374	22	0	0	0	0	9394	616.46	10.11	5.85	20.30	25.39	22.70	17.21	0.95	31.52	31.55
7/19/2022 12:19:56	2.72	7.55	0.85	0.76	0.00	0.00	0.00	1.42	11.88	100.00	-0.51	26.58	1444	7546	382	23	0	0	0	0	9394	616.15	10.20	5.95	20.29	25.55	22.64	17.53	0.95	31.59	31.58
7/19/2022 12:19:58	2.69	7.50	0.68	0.82	0.00	0.00	0.00	1.46	11.70	100.00	-0.51	26.47	1428	7503	308	25	0	0	0	0	9263	617.67	10.11	5.95	20.18	25.64	22.56	17.38	0.95	31.74	31.59
7/19/2022 12:20:01	2.78	7.53	0.95	0.53	0.00	0.00	0.00	1.42	11.78	100.00	-0.50	26.49	1472	7532	426	16	0	0	0	0	9445	617.15	9.91	5.72	19.98	25.36	22.19	17.29	0.95	31.45	31.60
7/19/2022 12:20:04	2.29	6.85	0.42	0.95	0.00	0.00	0.00	1.49	10.52	100.00	-0.51	26.40	1213	6853	191	29	0	0	0	0	8285	616.75	9.60	5.59	18.60	24.89	21.10	16.43	0.95	31.59	31.61
7/19/2022 12:20:09	2.18	7.08	0.86	0.49	0.00	0.00	0.00	1.45	10.62	100.00	-0.51	26.41	1158	7082	387	15	0	0	0	0	8642	616.57	9.35	5.44	18.68	24.43	20.75	16.02	0.95	31.48	31.70
7/19/2022 12:20:12	2.05	6.88	0.56	0.70	0.00	0.00	0.00	1.46	10.20	100.00	-0.51	26.40	1088	6885	253	21	0	0	0	0	8247	616.65	9.21	5.37	18.29	24.16	20.58	15.61	0.95	31.47	31.59
7/19/2022 12:20:14	2.29	6.91	0.52	0.62	0.00	0.00	0.00	1.47	10.34	100.00	-0.52	26.47	1212	6911	235	19	0	0	0	0	8376	616.79	9.11	5.41	18.35	24.34	20.48	15.79	0.95	31.47	31.75
7/19/2022 12:20:17	2.53	7.23	0.70	0.66	0.00	0.00	0.00	1.43	11.12	100.00	-0.52	26.41	1339	7233	316	20	0	0	0	0	8907	616.88	9.59	5.63	19.28	24.75	21.52	16.55	0.95	31.49	31.67
7/19/2022 12:20:20	2.40	7.63	0.76	0.78	0.00	0.00	0.00	1.44	11.57	100.00	-0.50	26.37	1271	7627	342	23	0	0	0	0	9263	617.33	10.08	6.01	20.35	25.21	22.64	16.87	0.95	31.52	31.54
7/19/2022 12:20:23	2.52	7.74	0.92	0.73	0.00	0.00	0.00	1.44	11.91	100.00	-0.50	26.58	1333	7740	415	22	0	0	0	0	9510	616.82	10.30	5.94	20.60	25.56	23.02	17.33	0.95	31.49	31.59
7/19/2022 12:20:25	2.68	7.95	1.01	0.66	0.00	0.00	0.00	1.42	12.30	100.00	-0.51	26.46	1420	7947	454	20	0	0	0	0	9840	616.62	10.42	6.06	21.10	25.71	23.43	17.60	0.95	31.45	31.63
7/19/2022 12:20:28	2.82	7.85	0.68	0.98	0.00	0.00	0.00	1.45	12.33	100.00	-0.51	26.61	1495	7852	307	29	0	0	0	0	9684	616.58	10.60	6.19	21.19	26.15	23.82	17.97	0.95	31.60	31.61
7/19/2022 12:20:31	2.73	7.89	0.57	1.09	0.00	0.00	0.00	1.47	12.27	100.00	-0.50	26.49	1448	7886	255	33	0	0	0	0	9622	617.05	10.66	6.30	21.34	26.23	24.01	17.89	0.95	31.45	31.59
7/19/2022 12:20:34	2.65	7.92	0.76	0.91	0.00	0.00	0.00	1.49	12.25	100.00	-0.51	26.49	1407	7916	344	27	0	0	0	0	9695	616.57	10.62	6.22	21.24	26.34	23.77	17.90	0.95	31.52	31.55
7/19/2022 12:20:37	2.62	8.24	1.08	0.70	0.00	0.00	0.00	1.48	12.65	100.00	-0.51	26.48	1388	8241	487	21	0	0	0	0	10138	616.31	10.82	6.32	21.85	26.61	24.19	18.14	0.95	31.59	31.60
7/19/2022 12:20:39	2.92	8.11	0.68	0.93	0.00	0.00	0.00	1.48	12.64	100.00	-0.50	26.41	1547	8109	307	28	0	0	0	0	9991	616.29	10.72	6.28	21.73	26.58	24.35	18.19	0.95	31.60	31.57
7/19/2022 12:20:42	2.97	8.18	0.90	0.73	0.00	0.00	0.00	1.46	12.78	100.00	-0.50	26.48	1575	8180	403	22	0	0	0	0	10180	615.98	10.66	6.20	21.74	26.54	24.20	18.25	0.95	31.51	31.59
7/19/2022 12:20:45	2.86	7.94	0.69	1.08	0.00	0.00	0.00	1.44	12.57	100.00	-0.51	26.52	1516	7936	311	32	0	0	0	0	9796	616.65	10.85	6.26	21.50	26.35	24.31	18.26	0.95	31.58	31.60
7/19/2022 12:20:48	2.56	8.33	1.28	0.57	0.00	0.00	0.00	1.45	12.74	100.00	-0.51	26.58	1358	8332	576	17	0	0	0	0	10283	616.49	10.82	6.25	21.93	26.38	24.21	18.05	0.95	31.50	31.59
7/19/2022 12:20:50	2.70	8.28	0.82	0.91	0.00	0.00	0.00	1.49	12.70	100.00	-0.52	26.56	1433	8277	367	27	0	0	0	0	10104	617.04	10.88	6.35	22.06	26.65	24.67	18.13	0.95	31.47	31.77
